train_step 228	train_loss 1.3172	MSE 1.3172
train_step 229	train_loss 0.3449	MSE 0.3449
train_step 230	train_loss 5.2233	MSE 5.2233
train_step 231	train_loss 1.1372	MSE 1.1372
train_step 232	train_loss 0.7097	MSE 0.7097
train_step 233	train_loss 1.0079	MSE 1.0079
train_step 234	train_loss 0.2231	MSE 0.2231
train_step 235	train_loss 3.1933	MSE 3.1933
train_step 236	train_loss 0.3219	MSE 0.3219
train_step 237	train_loss 1.8200	MSE 1.8200
train_step 238	train_loss 0.3869	MSE 0.3869
train_step 239	train_loss 3.1562	MSE 3.1562
train_step 240	train_loss 2.6198	MSE 2.6198
train_step 241	train_loss 0.5017	MSE 0.5017
train_step 242	train_loss 0.7584	MSE 0.7584
train_step 243	train_loss 3.1054	MSE 3.1054
train_step 244	train_loss 4.1272	MSE 4.1272
train_step 245	train_loss 1.6662	MSE 1.6662
train_step 246	train_loss 0.2647	MSE 0.2647
train_step 247	train_loss 0.9634	MSE 0.9634
train_step 248	train_loss 0.2271	MSE 0.2271
train_step 249	train_loss 0.5345	MSE 0.5345
train_step 250	train_loss 12.2019	MSE 12.2019
train_step 251	train_loss 1.9876	MSE 1.9876
train_step 252	train_loss 3.0662	MSE 3.0662
train_step 253	train_loss 0.0721	MSE 0.0721
train_step 254	train_loss 0.2979	MSE 0.2979
train_step 255	train_loss 0.8138	MSE 0.8138
train_step 256	train_loss 0.3177	MSE 0.3177
train_step 257	train_loss 0.1247	MSE 0.1247
train_step 258	train_loss 0.7992	MSE 0.7992
train_step 259	train_loss 0.9587	MSE 0.9587
train_step 260	train_loss 3.2835	MSE 3.2835
train_step 261	train_loss 3.2929	MSE 3.2929
train_step 262	train_loss 2.2509	MSE 2.2509
train_step 263	train_loss 2.1248	MSE 2.1248
train_step 264	train_loss 0.2477	MSE 0.2477
train_step 265	train_loss 0.0869	MSE 0.0869
train_step 266	train_loss 10.2983	MSE 10.2983
train_step 267	train_loss 0.1775	MSE 0.1775
train_step 268	train_loss 0.4768	MSE 0.4768
train_step 269	train_loss 43.6092	MSE 43.6092
train_step 270	train_loss 0.2480	MSE 0.2480
train_step 271	train_loss 0.9557	MSE 0.9557
train_step 272	train_loss 1.3535	MSE 1.3535
train_step 273	train_loss 0.8515	MSE 0.8515
train_step 274	train_loss 0.5462	MSE 0.5462
train_step 275	train_loss 4.8186	MSE 4.8186
train_step 276	train_loss 0.0647	MSE 0.0647
train_step 277	train_loss 0.9603	MSE 0.9603
train_step 278	train_loss 0.5934	MSE 0.5934
train_step 279	train_loss 3.1127	MSE 3.1127
train_step 280	train_loss 1.1195	MSE 1.1195
