train_step 266	train_loss 1.1094	MSE 1.1094
train_step 267	train_loss 0.7591	MSE 0.7591
train_step 268	train_loss 0.5415	MSE 0.5415
train_step 269	train_loss 1.7841	MSE 1.7841
train_step 270	train_loss 0.8771	MSE 0.8771
train_step 271	train_loss 0.7316	MSE 0.7316
train_step 272	train_loss 0.8854	MSE 0.8854
train_step 273	train_loss 0.3828	MSE 0.3828
train_step 274	train_loss 1.2897	MSE 1.2897
train_step 275	train_loss 1.5735	MSE 1.5735
train_step 276	train_loss 1.7440	MSE 1.7440
train_step 277	train_loss 4.6168	MSE 4.6168
train_step 278	train_loss 1.4185	MSE 1.4185
train_step 279	train_loss 1.6391	MSE 1.6391
train_step 280	train_loss 1.3582	MSE 1.3582
train_step 281	train_loss 0.6811	MSE 0.6811
train_step 282	train_loss 1.7542	MSE 1.7542
train_step 283	train_loss 0.5786	MSE 0.5786
train_step 284	train_loss 1.1517	MSE 1.1517
train_step 285	train_loss 1.2945	MSE 1.2945
train_step 286	train_loss 0.3520	MSE 0.3520
train_step 287	train_loss 0.6887	MSE 0.6887
train_step 288	train_loss 0.6025	MSE 0.6025
train_step 289	train_loss 2.5981	MSE 2.5981
train_step 290	train_loss 1.1876	MSE 1.1876
train_step 291	train_loss 0.7244	MSE 0.7244
train_step 292	train_loss 0.6669	MSE 0.6669
train_step 293	train_loss 3.5606	MSE 3.5606
train_step 294	train_loss 1.7451	MSE 1.7451
train_step 295	train_loss 1.1188	MSE 1.1188
train_step 296	train_loss 0.7496	MSE 0.7496
train_step 297	train_loss 2.1738	MSE 2.1738
train_step 298	train_loss 2.6927	MSE 2.6927
train_step 299	train_loss 0.8530	MSE 0.8530
train_step 300	train_loss 0.9152	MSE 0.9152
train_step 301	train_loss 1.0265	MSE 1.0265
train_step 302	train_loss 1.2390	MSE 1.2390
train_step 303	train_loss 0.7704	MSE 0.7704
train_step 304	train_loss 2.2650	MSE 2.2650
train_step 305	train_loss 0.8014	MSE 0.8014
train_step 306	train_loss 1.6303	MSE 1.6303
train_step 307	train_loss 0.9444	MSE 0.9444
train_step 308	train_loss 0.5265	MSE 0.5265
train_step 309	train_loss 0.4035	MSE 0.4035
train_step 310	train_loss 5.3631	MSE 5.3631
train_step 311	train_loss 2.0369	MSE 2.0369
train_step 312	train_loss 1.2199	MSE 1.2199
train_step 313	train_loss 1.2693	MSE 1.2693
train_step 314	train_loss 1.3157	MSE 1.3157
train_step 315	train_loss 4.8048	MSE 4.8048
train_step 316	train_loss 1.4785	MSE 1.4785
train_step 317	train_loss 1.8724	MSE 1.8724
train_step 318	train_loss 0.8049	MSE 0.8049
train_step 319	train_loss 2.5920	MSE 2.5920
train_step 320	train_loss 5.1810	MSE 5.1810
train_step 321	train_loss 0.9588	MSE 0.9588
train_step 322	train_loss 1.0446	MSE 1.0446
train_step 323	train_loss 1.9129	MSE 1.9129
train_step 324	train_loss 0.9964	MSE 0.9964
train_step 325	train_loss 0.7793	MSE 0.7793
train_step 326	train_loss 0.9511	MSE 0.9511
train_step 327	train_loss 1.4187	MSE 1.4187
train_step 328	train_loss 3.0215	MSE 3.0215
train_step 329	train_loss 1.6272	MSE 1.6272
train_step 330	train_loss 0.8719	MSE 0.8719
train_step 331	train_loss 0.6793	MSE 0.6793
train_step 332	train_loss 0.8851	MSE 0.8851
train_step 333	train_loss 0.7511	MSE 0.7511
train_step 334	train_loss 3.8376	MSE 3.8376
train_step 335	train_loss 1.9588	MSE 1.9588
train_step 336	train_loss 6.6773	MSE 6.6773
train_step 337	train_loss 1.1492	MSE 1.1492
train_step 338	train_loss 0.6201	MSE 0.6201
train_step 339	train_loss 0.7744	MSE 0.7744
train_step 340	train_loss 2.3424	MSE 2.3424
train_step 341	train_loss 1.0401	MSE 1.0401
train_step 342	train_loss 1.1499	MSE 1.1499
train_step 343	train_loss 0.9196	MSE 0.9196
