train_step 196	train_loss 0.3771	MSE 0.3771
train_step 197	train_loss 3.7741	MSE 3.7741
train_step 198	train_loss 0.7405	MSE 0.7405
train_step 199	train_loss 0.2499	MSE 0.2499
train_step 200	train_loss 2.3202	MSE 2.3202
train_step 201	train_loss 0.9875	MSE 0.9875
train_step 202	train_loss 5.2081	MSE 5.2081
train_step 203	train_loss 32.0349	MSE 32.0349
train_step 204	train_loss 0.0297	MSE 0.0297
train_step 205	train_loss 3.4856	MSE 3.4856
train_step 206	train_loss 18.6816	MSE 18.6816
train_step 207	train_loss 1.3506	MSE 1.3506
train_step 208	train_loss 0.2246	MSE 0.2246
train_step 209	train_loss 1.7684	MSE 1.7684
train_step 210	train_loss 1.0042	MSE 1.0042
train_step 211	train_loss 1.2644	MSE 1.2644
train_step 212	train_loss 2.2625	MSE 2.2625
train_step 213	train_loss 0.2997	MSE 0.2997
train_step 214	train_loss 0.1377	MSE 0.1377
train_step 215	train_loss 0.6524	MSE 0.6524
train_step 216	train_loss 0.6979	MSE 0.6979
train_step 217	train_loss 1.3093	MSE 1.3093
train_step 218	train_loss 1.6700	MSE 1.6700
train_step 219	train_loss 1.0888	MSE 1.0888
train_step 220	train_loss 0.4043	MSE 0.4043
train_step 221	train_loss 0.4371	MSE 0.4371
train_step 222	train_loss 4.8311	MSE 4.8311
train_step 223	train_loss 7.7570	MSE 7.7570
train_step 224	train_loss 0.8902	MSE 0.8902
train_step 225	train_loss 2.8774	MSE 2.8774
train_step 226	train_loss 0.3374	MSE 0.3374
train_step 227	train_loss 1.5528	MSE 1.5528
train_step 228	train_loss 5.7902	MSE 5.7902
train_step 229	train_loss 1.4769	MSE 1.4769
train_step 230	train_loss 0.2530	MSE 0.2530
train_step 231	train_loss 0.0693	MSE 0.0693
train_step 232	train_loss 3.4044	MSE 3.4044
train_step 233	train_loss 1.8601	MSE 1.8601
train_step 234	train_loss 0.5824	MSE 0.5824
train_step 235	train_loss 1.7717	MSE 1.7717
train_step 236	train_loss 0.0146	MSE 0.0146
train_step 237	train_loss 0.5205	MSE 0.5205
train_step 238	train_loss 0.9739	MSE 0.9739
train_step 239	train_loss 0.7037	MSE 0.7037
train_step 240	train_loss 4.6181	MSE 4.6181
train_step 241	train_loss 0.5534	MSE 0.5534
train_step 242	train_loss 8.8976	MSE 8.8976
train_step 243	train_loss 1.3647	MSE 1.3647
train_step 244	train_loss 0.3686	MSE 0.3686
train_step 245	train_loss 0.9246	MSE 0.9246
train_step 246	train_loss 1.1429	MSE 1.1429
train_step 247	train_loss 0.1264	MSE 0.1264
train_step 248	train_loss 0.0359	MSE 0.0359
train_step 249	train_loss 2.7279	MSE 2.7279
train_step 250	train_loss 1.9156	MSE 1.9156
train_step 251	train_loss 2.0789	MSE 2.0789
train_step 252	train_loss 46.5788	MSE 46.5788
train_step 253	train_loss 1.5925	MSE 1.5925
train_step 254	train_loss 3.7959	MSE 3.7959
train_step 255	train_loss 1.0148	MSE 1.0148
train_step 256	train_loss 1.5900	MSE 1.5900
train_step 257	train_loss 0.6533	MSE 0.6533
train_step 258	train_loss 0.3998	MSE 0.3998
train_step 259	train_loss 0.3218	MSE 0.3218
train_step 260	train_loss 0.9755	MSE 0.9755
train_step 261	train_loss 1.6159	MSE 1.6159
