train_step 374	train_loss 2.3073	MSE 2.3073
train_step 375	train_loss 0.0945	MSE 0.0945
train_step 376	train_loss 8.9530	MSE 8.9530
train_step 377	train_loss 0.4126	MSE 0.4126
train_step 378	train_loss 0.5696	MSE 0.5696
train_step 379	train_loss 6.5661	MSE 6.5661
train_step 380	train_loss 1.4907	MSE 1.4907
train_step 381	train_loss 18.3114	MSE 18.3114
train_step 382	train_loss 0.4724	MSE 0.4724
train_step 383	train_loss 2.8860	MSE 2.8860
train_step 384	train_loss 28.8228	MSE 28.8228
train_step 385	train_loss 1.5839	MSE 1.5839
train_step 386	train_loss 3.2394	MSE 3.2394
train_step 387	train_loss 0.1495	MSE 0.1495
train_step 388	train_loss 4.3699	MSE 4.3699
train_step 389	train_loss 0.5769	MSE 0.5769
train_step 390	train_loss 0.6966	MSE 0.6966
train_step 391	train_loss 7.0982	MSE 7.0982
train_step 392	train_loss 48.9296	MSE 48.9296
train_step 393	train_loss 1.5413	MSE 1.5413
train_step 394	train_loss 2.6801	MSE 2.6801
train_step 395	train_loss 1.2817	MSE 1.2817
train_step 396	train_loss 0.1682	MSE 0.1682
train_step 397	train_loss 1.0924	MSE 1.0924
train_step 398	train_loss 0.3581	MSE 0.3581
train_step 399	train_loss 2.3289	MSE 2.3289
train_step 400	train_loss 12.8851	MSE 12.8851
train_step 401	train_loss 1.9254	MSE 1.9254
train_step 402	train_loss 0.4142	MSE 0.4142
train_step 403	train_loss 0.1777	MSE 0.1777
train_step 404	train_loss 0.4576	MSE 0.4576
train_step 405	train_loss 0.3317	MSE 0.3317
train_step 406	train_loss 247.9685	MSE 247.9685
train_step 407	train_loss 2.2002	MSE 2.2002
train_step 408	train_loss 2.7690	MSE 2.7690
train_step 409	train_loss 0.5338	MSE 0.5338
train_step 410	train_loss 19.7126	MSE 19.7126
train_step 411	train_loss 0.6667	MSE 0.6667
train_step 412	train_loss 10.1501	MSE 10.1501
train_step 413	train_loss 0.2749	MSE 0.2749
train_step 414	train_loss 3.7878	MSE 3.7878
train_step 415	train_loss 0.6887	MSE 0.6887
train_step 416	train_loss 1.8155	MSE 1.8155
train_step 417	train_loss 13.5904	MSE 13.5904
train_step 418	train_loss 1.0918	MSE 1.0918
train_step 419	train_loss 6.6905	MSE 6.6905
train_step 420	train_loss 0.3853	MSE 0.3853
train_step 421	train_loss 1.2993	MSE 1.2993
train_step 422	train_loss 1.5414	MSE 1.5414
train_step 423	train_loss 2.4810	MSE 2.4810
train_step 424	train_loss 6.3863	MSE 6.3863
train_step 425	train_loss 0.6147	MSE 0.6147
train_step 426	train_loss 14.2618	MSE 14.2618
train_step 427	train_loss 1.6281	MSE 1.6281
train_step 428	train_loss 2.9659	MSE 2.9659
train_step 429	train_loss 1.9655	MSE 1.9655
train_step 430	train_loss 15.4957	MSE 15.4957
train_step 431	train_loss 0.2932	MSE 0.2932
train_step 432	train_loss 5.4389	MSE 5.4389
train_step 433	train_loss 0.8701	MSE 0.8701
train_step 434	train_loss 25.1635	MSE 25.1635
train_step 435	train_loss 0.6031	MSE 0.6031
train_step 436	train_loss 7.2032	MSE 7.2032
train_step 437	train_loss 3.2470	MSE 3.2470
train_step 438	train_loss 3.7901	MSE 3.7901
train_step 439	train_loss 8.4156	MSE 8.4156
train_step 440	train_loss 46.4199	MSE 46.4199
train_step 441	train_loss 0.1702	MSE 0.1702
train_step 442	train_loss 0.1098	MSE 0.1098
train_step 443	train_loss 1.2352	MSE 1.2352
train_step 444	train_loss 0.6386	MSE 0.6386
train_step 445	train_loss 0.1955	MSE 0.1955
train_step 446	train_loss 0.7298	MSE 0.7298
train_step 447	train_loss 2.2831	MSE 2.2831
train_step 448	train_loss 7.2987	MSE 7.2987
train_step 449	train_loss 0.3118	MSE 0.3118
train_step 450	train_loss 3.7831	MSE 3.7831
train_step 451	train_loss 0.1618	MSE 0.1618
train_step 452	train_loss 0.5652	MSE 0.5652
train_step 453	train_loss 2.0919	MSE 2.0919
train_step 454	train_loss 8.0364	MSE 8.0364
