train_step 193	train_loss 5.4617	MSE 5.4617
train_step 194	train_loss 1.9373	MSE 1.9373
train_step 195	train_loss 1.1163	MSE 1.1163
train_step 196	train_loss 1.1277	MSE 1.1277
train_step 197	train_loss 1.7325	MSE 1.7325
train_step 198	train_loss 0.2067	MSE 0.2067
train_step 199	train_loss 0.3404	MSE 0.3404
train_step 200	train_loss 5.3704	MSE 5.3704
train_step 201	train_loss 0.3810	MSE 0.3810
train_step 202	train_loss 6.5898	MSE 6.5898
train_step 203	train_loss 4.1620	MSE 4.1620
train_step 204	train_loss 4.1981	MSE 4.1981
train_step 205	train_loss 0.4903	MSE 0.4903
train_step 206	train_loss 0.4316	MSE 0.4316
train_step 207	train_loss 2.9939	MSE 2.9939
train_step 208	train_loss 1.7950	MSE 1.7950
train_step 209	train_loss 1.5854	MSE 1.5854
train_step 210	train_loss 0.1339	MSE 0.1339
train_step 211	train_loss 0.1568	MSE 0.1568
train_step 212	train_loss 0.8620	MSE 0.8620
train_step 213	train_loss 2.9732	MSE 2.9732
train_step 214	train_loss 2.3458	MSE 2.3458
train_step 215	train_loss 3.0009	MSE 3.0009
train_step 216	train_loss 19.9573	MSE 19.9573
train_step 217	train_loss 4.8495	MSE 4.8495
train_step 218	train_loss 0.1580	MSE 0.1580
train_step 219	train_loss 1.2669	MSE 1.2669
train_step 220	train_loss 0.4996	MSE 0.4996
train_step 221	train_loss 6.5309	MSE 6.5309
train_step 222	train_loss 1.1549	MSE 1.1549
train_step 223	train_loss 1.2784	MSE 1.2784
train_step 224	train_loss 0.2987	MSE 0.2987
train_step 225	train_loss 2.5520	MSE 2.5520
train_step 226	train_loss 1.1149	MSE 1.1149
train_step 227	train_loss 9.5787	MSE 9.5787
train_step 228	train_loss 1.1239	MSE 1.1239
train_step 229	train_loss 0.4803	MSE 0.4803
train_step 230	train_loss 19.4382	MSE 19.4382
train_step 231	train_loss 2.0862	MSE 2.0862
train_step 232	train_loss 0.8401	MSE 0.8401
train_step 233	train_loss 4.6978	MSE 4.6978
train_step 234	train_loss 0.8493	MSE 0.8493
train_step 235	train_loss 3.7393	MSE 3.7393
train_step 236	train_loss 0.8263	MSE 0.8263
train_step 237	train_loss 0.1182	MSE 0.1182
train_step 238	train_loss 1.5950	MSE 1.5950
train_step 239	train_loss 0.6206	MSE 0.6206
train_step 240	train_loss 1.2536	MSE 1.2536
train_step 241	train_loss 0.9598	MSE 0.9598
train_step 242	train_loss 0.1888	MSE 0.1888
train_step 243	train_loss 0.9480	MSE 0.9480
train_step 244	train_loss 6.5690	MSE 6.5690
train_step 245	train_loss 29.0956	MSE 29.0956
train_step 246	train_loss 0.8641	MSE 0.8641
train_step 247	train_loss 18.7274	MSE 18.7274
train_step 248	train_loss 1.3126	MSE 1.3126
train_step 249	train_loss 8.2664	MSE 8.2664
train_step 250	train_loss 4.4106	MSE 4.4106
train_step 251	train_loss 1.2844	MSE 1.2844
train_step 252	train_loss 6.8319	MSE 6.8319
train_step 253	train_loss 0.2590	MSE 0.2590
